6,[0.002148246782068353]
2,"[0.0050497475126243686, 0.004892172523961662, 0.0056667925953910086, 0.005028663381273258, 0.0050170579971904475, 0.004849165433107039]"
9,"[0.00796397304854013, 0.0015867259044337655, -0.0007529089664613279, 0.001356346003865586, 0.000228675966155957]"
12,"[0.0031757632707751474, -0.001822059877550668]"
18,"[-0.034210005932370974, -0.029352837384028687]"
1,"[0.009900990099009901, 0.009849119865884326, 0.009875259875259876, 0.009954940794299486, 0.009945561139028477, 0.009822591961511477, 0.009879253567508232, 0.009945300845350571, 0.009885204081632654, 0.009912767644726407, 0.009907856930545923, 0.009927335994268755, 0.009800530381644183, 0.00991211935417944, 0.009901970492127933, 0.009903931860948796, 0.009922822491730982, 0.009903931860948796, 0.00992950054612253, 0.009959758551307847, 0.009932747025349199, 0.009925558312655087]"
7,"[0.0010968393707605716, 0.001281700485318049]"
13,"[-0.09345146136141501, -0.00048794466862360877, -0.05715185389278123]"
8,"[0.002044859096427887, -0.0005900537461999256]"
11,"[-0.0004132383191301793, -0.06681297692399518]"
5,"[0.0020173492031470646, 0.001465320742429176, 0.005809331621109277]"
3,"[0.0033986474770244493, 0.003959926893657348, 0.0032407871437639905, 0.0033584647018505827, 0.005086002896196094]"
4,"[0.0023501465682806023, 0.0029353699085619286]"
10,"[0.0006655574043261231, 0.0007484878522444521]"
14,[-0.018929820622931588]
1,"[0.009925304410109486, 0.009913933979736354, 0.009941346058256287, 0.009847715736040609, 0.009883293029124171, 0.009883198562443846, 0.009931090393190109, 0.009812870835235053, 0.009900990099009901, 0.009900990099009901, 0.009900990099009901, 0.009902951079421667, 0.009888134238913304, 0.00991768322919766, 0.009902951079421667]"
24,[-0.02936749534923051]
2,"[0.005741677201854193, 0.004652605459057072, 0.005777961205117622]"
12,[-8.464676903282601e-06]
14,[-0.1207186770793449]
3,"[0.00336065292685436, 0.003392502227400452, 0.002725547697084699]"
6,"[0.003954974140553696, 0.002093260721579306]"
7,[0.001382428754518094]
23,[-0.1859998933257476]
30,[-0.2398862424457874]
15,[0.00012249147663475084]
16,"[0.0027095910512698394, -0.12762419187459312]"
4,"[0.002340682573240713, 0.0031156658770213203, 0.002795780912441225]"
8,[0.002784649457964745]
17,[-0.00153454823377678]
9,[0.0013273829957661059]
5,"[0.0019152453530099593, 0.0012762078395624431]"
8,"[-0.0011443374160609642, 0.0005201131563257177]"
1,"[0.009881225671224673, 0.009900990099009901, 0.00988347898460258, 0.009907856930545923, 0.009900990099009901, 0.009924812030075189, 0.009919650828290844, 0.009934771700953337]"
19,[-0.1456137187074774]
2,"[0.0049162697803041945, 0.005492454540606836, 0.0049435028248587575]"
4,[0.0028371332174624273]
7,[0.0011391058019454728]
16,[0.002727028307322007]
17,[-0.004675299829010773]
3,[0.0030911376065763103]
5,[0.001987871973013132]
8,[0.0018917458111342754]
3,[0.003389600705036947]
2,[0.004906378291779313]
1,"[0.009901970492127933, 0.009862131427996378, 0.009957184108334164, 0.009880176581879336, 0.009875311720698254, 0.009815242494226328, 0.009900990099009901, 0.00987334197666301]"
4,[0.0025201872139073186]
11,[-0.0014105812151414758]
5,"[0.0019456033376123235, 0.0020581944388393396, 0.0022739269907012627]"
6,[0.0017181545998911267]
9,[0.001225931257872953]
10,[-0.1050787725865143]
7,[0.0016492816944199302]
